unit,period,outcome,first_treat,dose,true_att
0,1,1.5979787598148583,0,0.0,0.0
0,2,2.7325304429378487,0,0.0,0.0
0,3,3.8673512566610713,0,0.0,0.0
0,4,1.9005604084462409,0,0.0,0.0
0,5,4.9627579001085556,0,0.0,0.0
0,6,7.128839245594696,0,0.0,0.0
0,7,5.2724934849519345,0,0.0,0.0
0,8,6.485739640126037,0,0.0,0.0
1,1,1.0348003907439947,0,0.0,0.0
1,2,0.34592519759159873,0,0.0,0.0
1,3,0.42891850908711215,0,0.0,0.0
1,4,-0.7658577061031568,0,0.0,0.0
1,5,2.6508694170135687,0,0.0,0.0
1,6,2.396710287889698,0,0.0,0.0
1,7,1.9971948462304336,0,0.0,0.0
1,8,3.636475407896289,0,0.0,0.0
2,1,-2.145307797348489,0,0.0,0.0
2,2,-1.5900535716578332,0,0.0,0.0
2,3,0.044663715566400586,0,0.0,0.0
2,4,-1.4000098518661521,0,0.0,0.0
2,5,1.4856878455314508,0,0.0,0.0
2,6,-0.4593136036607113,0,0.0,0.0
2,7,0.7756711511024286,0,0.0,0.0
2,8,3.8613187535242695,0,0.0,0.0
3,1,1.5134456792153643,0,0.0,0.0
3,2,0.9836949100683822,0,0.0,0.0
3,3,0.4455607020717256,0,0.0,0.0
3,4,1.356818610873049,0,0.0,0.0
3,5,2.4593662321586383,0,0.0,0.0
3,6,2.9236141499125403,0,0.0,0.0
3,7,3.2952199879469792,0,0.0,0.0
3,8,3.8552584034887576,0,0.0,0.0
4,1,2.3839721331775845,0,0.0,0.0
4,2,1.656368507242686,0,0.0,0.0
4,3,3.0818365007218658,0,0.0,0.0
4,4,5.012971296869546,0,0.0,0.0
4,5,3.230012945331582,0,0.0,0.0
4,6,4.90879173134342,0,0.0,0.0
4,7,4.7785933141118555,0,0.0,0.0
4,8,6.209697672280811,0,0.0,0.0
5,1,-1.840550813296628,0,0.0,0.0
5,2,0.5254760327448593,0,0.0,0.0
5,3,0.05466552196044405,0,0.0,0.0
5,4,-1.263720798007021,0,0.0,0.0
5,5,1.2193103793838889,0,0.0,0.0
5,6,0.27343051150812725,0,0.0,0.0
5,7,0.9710859963926567,0,0.0,0.0
5,8,2.361901387877312,0,0.0,0.0
6,1,-1.812897187573032,0,0.0,0.0
6,2,0.07170604848005813,0,0.0,0.0
6,3,-1.0956598293562925,0,0.0,0.0
6,4,-0.4400963204342604,0,0.0,0.0
6,5,0.02247933860899398,0,0.0,0.0
6,6,0.6132114838020639,0,0.0,0.0
6,7,2.7780417877049155,0,0.0,0.0
6,8,2.807646525767406,0,0.0,0.0
7,1,3.327041872560518,0,0.0,0.0
7,2,4.384742122447701,0,0.0,0.0
7,3,1.586380886616107,0,0.0,0.0
7,4,3.187517045875736,0,0.0,0.0
7,5,2.440897601905014,0,0.0,0.0
7,6,3.3394919908001803,0,0.0,0.0
7,7,3.987015408292778,0,0.0,0.0
7,8,4.059943044410173,0,0.0,0.0
8,1,-0.9949595043600148,0,0.0,0.0
8,2,0.412643390018144,0,0.0,0.0
8,3,-0.15979064984800817,0,0.0,0.0
8,4,2.399054727676032,0,0.0,0.0
8,5,1.1391742311208848,0,0.0,0.0
8,6,5.366496738634791,0,0.0,0.0
8,7,2.605543317574004,0,0.0,0.0
8,8,3.6289454104554513,0,0.0,0.0
9,1,0.4996281969529135,0,0.0,0.0
9,2,4.0010611395465885,0,0.0,0.0
9,3,3.914470062221865,0,0.0,0.0
9,4,3.5918852521550613,0,0.0,0.0
9,5,2.4481668326393833,0,0.0,0.0
9,6,4.505636259143569,0,0.0,0.0
9,7,3.6735383354016937,0,0.0,0.0
9,8,6.75732464489231,0,0.0,0.0
10,1,1.281901148262579,0,0.0,0.0
10,2,1.0681454548971425,0,0.0,0.0
10,3,-0.9636692468379158,0,0.0,0.0
10,4,0.989290437750376,0,0.0,0.0
10,5,3.160467548009279,0,0.0,0.0
10,6,4.185590108132562,0,0.0,0.0
10,7,4.581876227901538,0,0.0,0.0
10,8,2.3806934141679514,0,0.0,0.0
11,1,2.204879602992038,0,0.0,0.0
11,2,3.4188425126620636,0,0.0,0.0
11,3,1.244991730596889,0,0.0,0.0
11,4,3.3954227808058977,0,0.0,0.0
11,5,4.17716969448759,0,0.0,0.0
11,6,4.102562711332399,0,0.0,0.0
11,7,3.051165440777932,0,0.0,0.0
11,8,5.077629186105405,0,0.0,0.0
12,1,-1.8974616583363058,0,0.0,0.0
12,2,-1.218228632629036,0,0.0,0.0
12,3,-1.1336276535063514,0,0.0,0.0
12,4,-0.513168381322749,0,0.0,0.0
12,5,0.3901374895717403,0,0.0,0.0
12,6,1.3722983768884294,0,0.0,0.0
12,7,1.125417009062051,0,0.0,0.0
12,8,1.5201948435507164,0,0.0,0.0
13,1,0.5681847366779232,0,0.0,0.0
13,2,-0.9450852274717164,0,0.0,0.0
13,3,1.9528658256499232,0,0.0,0.0
13,4,1.9752676013005062,0,0.0,0.0
13,5,2.515524225021027,0,0.0,0.0
13,6,3.936565006017929,0,0.0,0.0
13,7,1.5230151683752169,0,0.0,0.0
13,8,2.0019968285645016,0,0.0,0.0
14,1,0.3524238165972059,0,0.0,0.0
14,2,0.5715031161451706,0,0.0,0.0
14,3,1.2487969144656186,0,0.0,0.0
14,4,1.1164928961012408,0,0.0,0.0
14,5,2.7429736455136173,0,0.0,0.0
14,6,3.511258814264806,0,0.0,0.0
14,7,3.5626022652252134,0,0.0,0.0
14,8,3.317791512869103,0,0.0,0.0
15,1,-4.039471235822664,0,0.0,0.0
15,2,-0.6625456401711333,0,0.0,0.0
15,3,0.2899468180093314,0,0.0,0.0
15,4,0.21277656377571863,0,0.0,0.0
15,5,-0.8114242755757679,0,0.0,0.0
15,6,1.2420125454594966,0,0.0,0.0
15,7,1.9287478597531842,0,0.0,0.0
15,8,3.1270343995908245,0,0.0,0.0
16,1,-3.5030658199653346,0,0.0,0.0
16,2,-2.3534104802815152,0,0.0,0.0
16,3,-0.8796838445939217,0,0.0,0.0
16,4,-1.069545824299219,0,0.0,0.0
16,5,-1.7442834977886517,0,0.0,0.0
16,6,0.28766038928932613,0,0.0,0.0
16,7,0.9517057380777898,0,0.0,0.0
16,8,0.9610070005936251,0,0.0,0.0
17,1,2.0910829977292678,0,0.0,0.0
17,2,2.1127921688635936,0,0.0,0.0
17,3,4.349777006265382,0,0.0,0.0
17,4,2.470805886836647,0,0.0,0.0
17,5,3.2841773077855447,0,0.0,0.0
17,6,4.382483584076849,0,0.0,0.0
17,7,5.750452098250216,0,0.0,0.0
17,8,3.874124900454787,0,0.0,0.0
18,1,-1.5122015142013954,0,0.0,0.0
18,2,-1.739633272170674,0,0.0,0.0
18,3,0.8307904608173147,0,0.0,0.0
18,4,0.17978941835749995,0,0.0,0.0
18,5,1.413545125546127,0,0.0,0.0
18,6,2.959473425455752,0,0.0,0.0
18,7,2.1565525147811972,0,0.0,0.0
18,8,3.5293772583074086,0,0.0,0.0
19,1,-1.843898471046381,0,0.0,0.0
19,2,-0.37244624819822225,0,0.0,0.0
19,3,-0.0694324959466503,0,0.0,0.0
19,4,-0.736494259469269,0,0.0,0.0
19,5,0.2867876833048883,0,0.0,0.0
19,6,1.9991828344258353,0,0.0,0.0
19,7,1.8488163069594379,0,0.0,0.0
19,8,0.5584773789542095,0,0.0,0.0
20,1,0.9632601873247182,0,0.0,0.0
20,2,-0.27696849628290265,0,0.0,0.0
20,3,2.7201551961143418,0,0.0,0.0
20,4,2.8317409659943604,0,0.0,0.0
20,5,2.597527602071736,0,0.0,0.0
20,6,2.9648749695895287,0,0.0,0.0
20,7,3.0986098701259155,0,0.0,0.0
20,8,4.486166077553364,0,0.0,0.0
21,1,2.3852595452365435,0,0.0,0.0
21,2,3.491607585338499,0,0.0,0.0
21,3,4.627972081218056,0,0.0,0.0
21,4,3.6942311711730156,0,0.0,0.0
21,5,4.139844974707911,0,0.0,0.0
21,6,4.0616722339741465,0,0.0,0.0
21,7,4.6915649685724325,0,0.0,0.0
21,8,4.427642403257103,0,0.0,0.0
22,1,-3.331646901728316,0,0.0,0.0
22,2,-1.752561148661075,0,0.0,0.0
22,3,-1.6361467472735403,0,0.0,0.0
22,4,-4.1875601793703625,0,0.0,0.0
22,5,-1.3366210191876458,0,0.0,0.0
22,6,-0.1393693408202894,0,0.0,0.0
22,7,-1.51828567148251,0,0.0,0.0
22,8,-0.4600282600937964,0,0.0,0.0
23,1,-4.501170430611323,0,0.0,0.0
23,2,-1.7265412118300112,0,0.0,0.0
23,3,-2.5568371092413704,0,0.0,0.0
23,4,-0.7936423618951383,0,0.0,0.0
23,5,-2.0544803019955333,0,0.0,0.0
23,6,0.5495808446709431,0,0.0,0.0
23,7,1.531235295620037,0,0.0,0.0
23,8,0.22354275847817962,0,0.0,0.0
24,1,-2.48269546520097,0,0.0,0.0
24,2,-3.0017959263405163,0,0.0,0.0
24,3,-0.6121864178657122,0,0.0,0.0
24,4,-0.4273668180721403,0,0.0,0.0
24,5,-0.8967922961385899,0,0.0,0.0
24,6,1.6072458725216365,0,0.0,0.0
24,7,1.2042567343448156,0,0.0,0.0
24,8,1.0784911575642324,0,0.0,0.0
25,1,2.8677853278002106,0,0.0,0.0
25,2,4.9936622723702735,0,0.0,0.0
25,3,5.0252946771958795,0,0.0,0.0
25,4,4.792331671942168,0,0.0,0.0
25,5,6.0414627519055095,0,0.0,0.0
25,6,4.761445777053918,0,0.0,0.0
25,7,6.454727834167688,0,0.0,0.0
25,8,7.0696800639271276,0,0.0,0.0
26,1,0.5953374573398662,0,0.0,0.0
26,2,2.000632301796011,0,0.0,0.0
26,3,1.2847405111941415,0,0.0,0.0
26,4,3.074994673614711,0,0.0,0.0
26,5,3.6170327373698847,0,0.0,0.0
26,6,0.6480140851415266,0,0.0,0.0
26,7,5.255479669348711,0,0.0,0.0
26,8,1.5175414004858387,0,0.0,0.0
27,1,1.4185854553663282,0,0.0,0.0
27,2,3.5599825151802085,0,0.0,0.0
27,3,2.717347755670013,0,0.0,0.0
27,4,2.0684484984529115,0,0.0,0.0
27,5,2.9408974192057826,0,0.0,0.0
27,6,5.561540227243073,0,0.0,0.0
27,7,3.113129950373815,0,0.0,0.0
27,8,6.663625581884471,0,0.0,0.0
28,1,-1.8354239372947503,0,0.0,0.0
28,2,-2.4727171686948948,0,0.0,0.0
28,3,-1.3634369105551523,0,0.0,0.0
28,4,-1.2975461793541023,0,0.0,0.0
28,5,1.0859033626060675,0,0.0,0.0
28,6,1.4521059715103772,0,0.0,0.0
28,7,-0.4994829721285077,0,0.0,0.0
28,8,1.3160860432282049,0,0.0,0.0
29,1,-2.6022574128853293,0,0.0,0.0
29,2,0.05443821791831782,0,0.0,0.0
29,3,-2.0891708686674733,0,0.0,0.0
29,4,1.3651573541439614,0,0.0,0.0
29,5,0.22763350994200998,0,0.0,0.0
29,6,-0.40100615692114006,0,0.0,0.0
29,7,0.5836540654496697,0,0.0,0.0
29,8,0.959309408690497,0,0.0,0.0
30,1,0.12100903142991482,0,0.0,0.0
30,2,1.9904542931757965,0,0.0,0.0
30,3,1.1677118827535777,0,0.0,0.0
30,4,0.7152612247072323,0,0.0,0.0
30,5,3.015950962597248,0,0.0,0.0
30,6,2.0927712370275384,0,0.0,0.0
30,7,3.6434665653779006,0,0.0,0.0
30,8,3.986524544842065,0,0.0,0.0
31,1,-0.2546674101549211,0,0.0,0.0
31,2,3.1175117634610467,0,0.0,0.0
31,3,1.672960229040464,0,0.0,0.0
31,4,2.361919670866225,0,0.0,0.0
31,5,0.8401503655285985,0,0.0,0.0
31,6,2.462585528233971,0,0.0,0.0
31,7,3.8318512918124052,0,0.0,0.0
